headline,date,id,doc_type,material_type,sectionname,keywords,printpage,wordcount,newsdesk
Quotation of the Day: Taking On Everest at Its Very Coldest and at Its Toughest,2022-02-01,nyt://article/75f74635-4b55-504b-b6ac-21e4c12599fc,article,News,Today’s Paper,[],3,46,Summary
An 8-Year-Old Wrote a Book and Hid It on a Library Shelf. It’s a Hit.,2022-02-01,nyt://article/58a0e1f4-0b7b-5638-be4f-d815c59252dc,article,News,Books,"['Writing and Writers', 'Books and Literature', 'Libraries and Librarians', 'Christmas', 'genre-books-graphic-novels-comic-books']",,706,Express
"Winter Storm Poised to Hit From Albuquerque to Detroit, Bringing Bitter Cold",2022-02-01,nyt://article/e93633fb-41b2-50f8-8fb4-83c44d979097,article,News,U.S.,"['Weather', 'Snow and Snowstorms', 'Rain', 'Cold and Cold Spells']",20,1071,Express
Did Democrats Make Inflation Worse?,2022-02-01,nyt://article/600f4d4b-2da8-566a-bce0-23112ca940d8,article,News,Podcasts,"['United States Economy', 'United States Politics and Government', 'audio-neutral-informative']",,331,Podcasts
Dutch Publisher Apologizes Over Disputed Anne Frank Book,2022-02-01,nyt://article/5c075fb1-8c56-53fe-b421-9e8891187ef2,article,News,Books,"['Books and Literature', 'Holocaust and the Nazi Era', 'World War II (1939-45)']",,571,Culture
"Prices and Ire, Rising",2022-02-01,nyt://article/683eadae-bd2a-528e-a2ed-9c04b8c70dfa,article,briefing,Briefing,"['United States Economy', 'Inflation (Economics)', 'Coronavirus (2019-nCoV)', 'internal-storyline-no']",3,1590,NYTNow
"Hungary’s leader, visiting Moscow, calls Russian demands reasonable and says sanctions are pointless.",2022-02-01,nyt://article/d6e57c11-cb68-5511-b799-f3a024e78d9c,article,News,World,['Politics and Government'],9,462,Foreign
Watch: The U.S. and Russia exchange bitter accusations at the U.N. Security Council.,2022-02-01,nyt://article/a9fc4775-e485-55e0-80a1-98f2b66fd90f,article,News,World,[],,0,Foreign
Annotated by the Author: ‘Covid Test Misinformation Spikes Along With Spread of Omicron’,2022-02-01,nyt://article/c58ca3dc-3bb2-5ec5-8cd0-531ec75a412e,article,News,The Learning Network,[],,2301,Learning
Lesson of the Day: ‘Covid Test Misinformation Spikes Along With Spread of Omicron’,2022-02-01,nyt://article/ddf4f13c-2233-52ac-b782-78f89a637c48,article,News,The Learning Network,[],,870,Learning
